id,description
14,"Some Defias have eluded us.  My most trusted scout reports that these Defias have been looting and pillaging the countryside, all the way into Southern Westfall.  We believe they are hiding out in the Dagger Hills, plotting their next move.   Slay the wretches in the name of The People's Militia."
15,"<name>, my scouts tell me that the kobold infestation is larger than we had thought.  A group of kobold workers has camped near the Echo Ridge Mine to the north.Go to the mine and remove them.  We know there are at least 10.  Kill them, see if there are more, then report back to me."
17,"I've heard about a newly discovered plant called the magenta fungus caps.  They grow in clusters at the Uldaman dig site and can be found in the early tunnels and deep within the less-explored areas.  I want to study their potential use in alchemy, and that's where you come in.Find the magenta cap clusters and bring me a dozen caps.  Be warned, the clusters may spew out poison spores if jostled.Do this for me, and I'll whip up a batch of one of my famous restorative elixirs for you!"
18,"Recently, a new group of thieves has been hanging around Northshire.  They call themselves the Defias Brotherhood, and have been seen across the river to the east.I don't know what they're up to, but I'm sure it's not good!  Bring me the bandanas they wear, and I'll reward you with a weapon."
19,Blackrock Outrunners and Renegades are running ambushes between here and Stonewatch Keep.  The leader of the Outrunners is an orc named Tharil'zun--we want this orc.  Bring me the head of Tharil'zun!
20,"The Blackrock orcs have travelled from the Burning Steppes and claimed Stonewatch Keep to the north.  From there they maraud the areas north of Lakeshire and keep its citizens in town, penned like cattle.Help rid Lakeshire of this menace.  Kill these Blackrock orcs and bring me ten of their Battleworn Axes as proof.And although Blackrocks threaten us from the north, we've received reports of more in the southeastern pocket of Redridge.  If you find any there, then they too should be hunted."
21,"Your previous investigations are proof that the Echo Ridge Mine needs purging.  Return to the mine and help clear it of kobolds.Waste no time, <name>.  The longer the kobolds are left unmolested in the mine, the deeper a foothold they gain in Northshire."
22,The onions are peeled.  The garlic is minced.  The rosemary is crushed.  The crust has been baked.  The dill weed is chopped.  The gravy is simmering.  Now all I need for my famous meat pie are 8 Goretusk Livers!
23,The paw of the mighty bear Ursangous is your trophy for this part of the Ashenvale Hunt.  On the paw is a small quarter-crescent emblem; the significance of the emblem remains a mystery.The paw should be brought to Senani Thunderheart in Splintertree Post to prove that you have bested the mighty creature and completed this portion of the hunt.
24,The once swift Shadumbra now lies still as you claim victory over it.  The head of the slain nightsaber is a fitting trophy for this fight of the Ashenvale Hunt.  Senani Thunderheart at Splintertree Post will want to see such a trophy to award you credit for this part of the Ashenvale Hunt.
25,"If you want to be useful, then why don't you do something about the situation near Talondeep Path?The transports between Ashenvale and Stonetalon are at a standstill because of the lake coming alive and attacking anything that gets close... which means anyone on the path.  What'd be even more useful than just putting the hammer down on the water elementals there is someone scouting the gazebo on Mystral Lake - the one that has a solid view of the Alliance outpost there.You up for being useful?"
26,"<name>, I have been following your progress with much delight.  You are most assuredly developing yourself into a valued protector of nature.The time has come for you to learn more about one of the various animal aspects that Cenarius has blessed us with the ability to change into - one that affords you command and mastery of the water.  For this, you must travel to the village of Nighthaven in Moonglade and speak with Dendrite Starblaze of the Cenarion Circle there.  He will guide you further."
27,"<name>, I have been following your progress with much delight.  You are most assuredly developing yourself into a valued protector of nature.The time has come for you to learn more about one of the various animal aspects that Cenarius has blessed us with the ability to change into - one that affords you command and mastery of the water.  For this, you must travel to the village of Nighthaven in Moonglade and speak with Dendrite Starblaze of the Cenarion Circle there.  He will guide you further."
28,"For your first trial, search the depths of Lake Elune'ara to locate a Shrine Bauble.  It decays rapidly, so proceed with it to the Shrine of Remulos post haste.  Use the bauble at the shrine, and then speak with Tajarri there; she is one of Moonglade's most trusted wardens.You only have a set amount of time to complete the task, and you may be competing against other druids searching for baubles themselves.  Mental and physical dexterity will be critical to your success.Good luck, <name>."
29,"For your first trial, search the depths of Lake Elune'ara to locate a Shrine Bauble.  It decays rapidly, so proceed with it to the Shrine of Remulos post haste.  Use the bauble at the shrine, and then speak with Tajarri there; she is one of Moonglade's most trusted wardens.You only have a set amount of time to complete the task, and you may be competing against other druids searching for baubles themselves.  Mental and physical dexterity will be critical to your success.Good luck, <name>."
30,"For the second trial, you'll need the two halves that make the Pendant of the Sea Lion.  One half draws power from the agility of the sea lion aspect, gliding through water; the other draws power from the incredible endurance of the sea lion aspect.  Druids draw on both these traits equally to embody the aspect of their aquatic form.Speak with the locals of Moonglade to learn where the parts may lie, and bring both here to join them together.  Once formed, take the pendant to Dendrite Starblaze."
31,"You have completed the necessary lessons all young druids are taught before they can adopt an aquatic aspect.  Go now back to your trainer, Turak Runetotem, in Thunder Bluff.  Show him your pendant and prove to him you are ready to learn what he has to teach you.  He will complete your training, allowing you to become one with the water.Goodbye, young druid.  We shall speak again."
32,"Here's your report.  I urge you to take it to someone who might have working knowledge in this kind of thing.I know this troll scholar named Zilzibin Drumlore.  He's spent a lot of time studying life forms that are unique to the ecology of Azeroth; he's a historian to boot!  If you want someone to help figure out what exactly this threat is and how to stop it, give this report to him.  We're going to need all the help we can get.Zil lives in a house on the second tier of the Drag in Orgrimmar."
33,I hate those nasty timber wolves!  But I sure like eating wolf steaks...  Bring me tough wolf meat and I will exchange it for something you'll find useful.Tough wolf meat is gathered from hunting the timber wolves and young wolves wandering the Northshire countryside.
34,"Once again my garden was trampled and pillaged.  And I know the brute who is doing it.  It's that forsaken boar, the one Marshal Marris has taken to calling Bellygrub.I won't be able to re-plant the daffodils until next season now.  Ruined!  All ruined by that one menacing boar.  Put an end to that pest!  Show me his tusk and I'd be happy to reward you.  He seems to spend his time foraging in the field southwest of Lakeshire but occasionally he roams over here and into my garden."
35,"If you are concerned that the rumors of murlocs are true, then do this -- travel to the eastern Elwynn bridge and speak with Guard Thomas.  He has been stationed at the bridge for the past week and will know the state of the area.Bring me his report."
36,"I never thought the day would come when I'd leave the farm.  But the fields are overrun with thieves and it's far too dangerous for us here now.  As soon as Farmer Furlbrow gets the wagon fixed, we'll be on our way.Maybe you could do me a favor?  Let me scribble down my recipe for Westfall stew.  Please take it to Salma Saldean over on the farm yonder.  The Saldean's farm is just beyond the fork in the road."
37,"A few days ago we sent two Guards, Rolf and Malakai, to investigate along the river, and they have not yet returned.  To complete my report, I must know what happened to those men.Travel north along the river and find the guards... or their remains."
38,Help me make some Westfall Stew!  Come back with the following ingredients:3 Stringy Vulture Meat3 Goretusk Snouts3 Murloc Eyes3 Okra
39,"Tell Marshal Dughan of Malakai and Rolf's deaths, and report to him that the Murlocs in eastern Elwynn cannot be contained by our current troop presence.I know we don't have many troops to spare, but hopefully Dughan can find someone."
40,"<name>, there's a new threat in Elwynn Forest!  Murlocs are swimming up the streams of eastern Elwynn, scaring away fish and attacking gentle folk!I warned Marshal Dughan, but he's more worried about the gnolls and the bandits.  He's not convinced that the murlocs are a danger.Please, <name>, speak to Dughan and persuade him to send more troops to the east!"
45,"Upon further searching the area, you find webbed footprints leading east along the shore of Stone Cairn Lake.  In the distance to the east, you can just barely see a Murloc village.Perhaps Rolf's fate ended there..."
46,"The Stormwind Army has placed a bounty on murloc lurkers and foragers in Elwynn.  Slaughter them and bring me their torn murloc fins, and the Stormwind Army will reward you well.The murlocs have built a village at Stone Cairn Lake north of here, and another to the south where the stream forks."
47,"The Kobolds in these parts sometimes carry Gold Dust on them.  I could really use the stuff - bring me a load of it and I'll give you the best price in town...best price in town!You can find kobolds in the Fargodeep Mine to the south, and around the Jasperlode Mine to the northeast."
48,In the land to the south where vines twist and creepLies a hidden well where the water runs deepPure as the Light's sacred DaughterBring to me now some Holy Spring Water.
49,"Amber is the hue of my life's longest loveLike the last embers of dusk in the sky aboveRetrieve for me so that my love shall be bornOne sack of each: barley, rye and corn."
50,I'll mix and mix till we have a mashFor this will be our own private stashA still must be fashioned of metal strongBring me some Truesilver so I can finish this song.
51,"Not yet filtered but freshly distilledLike unseeded land waiting there tilled.Next I will fashion our pile of charcoalDeliver a sycamore branch, that is your next goal."
52,"Hail, <name>.  Wild animals are growing more and more aggressive the farther we get from Goldshire, and the Eastvale Logging Camp suffers nearly constant attacks from wolves and bears!We could use your help out here."
53,Mellifluous liquid clear as a baby's tearsTurns a lovely deep amber over the yearsBut before we proceed to get lit to the hiltA barrel of charred oak must be built.
54,"<name>, you are a <class> with proven interest in the security of Northshire.  You are now tasked with the protection of the surrounding Elwynn Forest.If you accept this duty, then I have prepared papers that must be delivered to Marshal Dughan in Goldshire.  Goldshire lies along the southern road, past the border gates."
55,"Morbent Fel hides in his lair, the house perched atop the hill to the east overlooking the Raven Hill cemetery.  His time in this land is drawing to an end...Use Morbent's Bane against him.  It will render his protective magics powerless.Slay him.  Slay him, and save us from his wickedness.  Be the instrument of my revenge, and a hero of Duskwood!"
56,"As Commander of The Night Watch it is my sworn duty to protect the citizens of Darkshire.  Stormwind has retracted their commissioned guards from their posts here, leaving us to our own devices.If you feel worthy of the task, we need your help! Assist The Night Watch by venturing forth into Tranquil Gardens, just south of Darkshire, and slaying 8 Skeletal Warriors and 6 Skeletal Mages.  The undead threat must be thwarted!"
57,"<name>, I'm getting reports of an undead infestation in the forest!  If you're up to the job, journey to the Raven Hill graveyard and slay 15 of those vile Skeletal Fiends and 15 Skeletal Horrors.  There are also reports of skeletons just south of Darkshire, in and around Tranquil Gardens Cemetery.  The undead must be driven from Duskwood!"
58,"The situation in Raven Hill is still grim.  The safety of Darkshire is in your hands, <name>.  I don't have enough Watchers to keep the town safe.  We need you to dispatch for Raven Hill yet again and rid the eastern mausoleum of 20 Plague Spreaders!"
59,"For your shrewdness and valor, I have a marker here that is good for one piece of armor.  I want you to take it to Sara Timberlain at the Eastvale Logging Camp.  Give her the marker, and she will fashion the armor for you.  And after you receive it, <name>, use it in the defense of Elwynn.The Eastvale Logging Camp is beyond Guard Thomas' post to the east."
60,"Hello, <good sir/my lady>!  Do you have a moment?My brother and I run an apothecary in Stormwind, and I'm here to gather large candles for their wax.  Can you help me?You can get large candles from kobolds, and I hear rumors that kobolds are infesting the Elwynn mines ... the Fargodeep mine to the south and Jasperlode Mine to the east.  I suggest looking for candles in one of those places."
61,"My brother Morgan is waiting in Stormwind for my shipment of candles.  I don't have enough time to make the trip myself, but if you'd like to take him the shipment, he'll pay you well.I've packed up the candles, and you can find Morgan in our shop, Pestle's Apothecary, in the Stormwind Trade District."
62,"The mine in Northshire isn't the only one with problems!  I have reports that the Fargodeep Mine in Elwynn has also become a haven for Kobolds.Explore the mine and confirm these reports, then return to me.  The mine is almost due south of Goldshire, between the Stonefield and Maclure homesteads."
63,"Along the coast of Silverpine, west of the Sepulcher, you will find a shrine that has become tainted by the plague. The spirits there no longer speak to our people and it will be up to you to defeat the manifestation and cleanse the pool.Take the elemental's bracers, along with the remaining drops of Brine's potion, and place them on the brazier. The ritual should be enough to summon a pure spirit for you to communicate with.Bring me proof the task is done, and I will reward you with your totem."
64,"It was horrible!  Verna woke me when she heard a ruckus in the fields.  The fields were full of hooligans.  We left in a rush and I forgot to pack my pocket watch.  Verna's pa gave me that watch on our wedding day and I feel just sick knowing those thieves have it.  I left the pocket watch in the wardrobe at the farmhouse.  Look for the field of pumpkins to the West -- you can't miss it.  If you bring it back to me, I'd sure be grateful!"
65,"The band of wretches responsible for driving the good people of Westfall from the land call themselves The Defias Brotherhood.  I need you to infiltrate this clan of thugs.  We need to know who heads up the cartel and where they are hiding out.  In Lakeshire, in the inn, there is a rogue by the name of Wiley who owes me a favor.Travel to Lakeshire in the Redridge Mountains, east of Elwynn, and find out what you can."
66,"Last night a horrible disturbance rippled through my veins.  I sensed that my granddaughter, Alyssa, was in great danger.  I consulted the cards and Death stared up at me from the table.After taking a long journey through a dark trance I was able to uncover a clue to this terrifying mystery.  A name came to me, the name of Stalvan.Seek out the Clerk in the Town Hall and see if you can find out more about this character.  I fear for us all."
67,"Stalvan, eh?  Let me check the town registry.Stalvan. . .Stalvan. . .let's see.  Ah, here we go!  I have a record of a Mr. Stalvan Mistmantle.  The last recorded address is the Moonbrook Schoolhouse.  My, talk about outdated!Do me a favor will you, friend?  If you happen to go out to Moonbrook, let me know if you get any update on this fellow.  I like to keep the records clean."
68,You find a Dusty Unsent Letter in the old footlocker.
69,"Oh my!  Must have missed this the first time.  In the registry, right beneath the first address for Stalvan there's another one listed, only partially scratched out.  Looks like he was headed to The Lion's Pride Inn over in Goldshire.  Might want to check there, <name>."
70,"The name Stalvan rings a bell.  I remember now.Many years back, on a stormy night, a messenger came in, seeking refuge for the night.  Near the stroke of midnight, the man ran down the stairs screaming, his face pale with fear.  Still wearing his bedclothes, he disappeared into the downpour.In his haste he forgot his letters in the chest upstairs.  He never returned for them. One remains from that Stalvan fellow, intended for the Canal District in Stormwind.  Help yourself to it."
71,"Now that you have both medallions, deliver them to Guard Thomas at the bridge so that he might know the fate of his murdered guards."
72,My father was the caretaker of the estate long before I was.  He had to mop the blood up after the massacre.  But that's neither here nor there.The last funds of the Flintridge trust have dried up.  Now the last of the family possessions are headed for auction.  Blame the tax vultures.  I guess if you're really itching to learn more you're free to look through this junk.  Who knows what you might find.
74,"Inside the crate you find various objects: musty heirlooms, a family portrait, a few hunting trophies and some old books.  Near the bottom, underneath a ceramic vase, you uncover A Torn Journal Page."
75,"There was a bundle of parchments in the chest upstairs when I moved into this place.  I looked at them once when I first arrived but I gave up once the fog hazed over my peepers.Do an old, nearly-blind man a favor and check the chest upstairs for anything that might help you in your quest to discover more about this Stalvan character.  I'm pretty sure there's a faded journal page that might be of interest to you.  Bring it to me and I'll help in anyway I can."
76,"Thanks to you we know the Fargodeep Mine is infested with kobolds.  Now we need a scout to investigate the more distant Jasperlode Mine.Explore Jasperlode and confirm any kobold presence.  To reach the mine, travel east along the road until you reach the Tower of Azora.  From the tower, head north and you'll find the mine in the foothills."
77,"I possess original packaging materials for the ripple Dran Droffers seeks.  I will assist you in packaging the ripple for Malton's abrasive father... for a fee of two additional bottles of said ripple.  They are located in crates found in the abandoned Horde base near Skulk Rock.It will be an arduous task, to wit; foul slimes and oozes will be found sticking to the ruins; rumor has it they are led by some sort of master ooze.  Regardless, procure the ripple and return to me here for packaging."
78,"I know of someone who might be able to assist you.  Back when I was leading the Stormwind Guard, we used to get drinks at the Scarlet Raven Tavern in Darkshire.  The Innkeeper there, Smitts, was quite an expert on the local lore.  Show him this page and see what he has to say about it."
79,I followed the legend of that Stalvan character for years.  When those visiting nobles were slaughtered a few years back I went with Haggard to investigate.  I found these muddy pages but we were never able to link the handwriting to that crazy man in the woods.  Your trail of evidence proves his guilt.  Take this to Commander Ebonlocke immediately and fill her in on what you've discovered!
80,"I have had my eye on that creep, Stalvan, for quite sometime.  But if this page was written by the same hand it proves his guilt beyond a shadow of a doubt.In all his days keeping the Town Registry, Clerk Daltry has become an expert at identifying handwriting.  Show him this page and see if the writing matches that of the registry signature."
81,"I have taken the extra step of securing not only Dran's packaged ripple in the barrel, but also the extra bottles of ripple he is purloining.  While I may not hold Dran very highly, there is nothing worse than jostled ripple.  You're welcome.Now, deliver yon barrel to Dran Droffers in his salvage emporium in Orgrimmar.  Pray tell, please extend my warmest greetings to Malton; let him know that should he ever thirst for fine drink and finer drinking companions, we would be honored with his visit."
82,"All right now, these reports about the bugs... what we know is that they are draining the water pools that used to be where the Noxious Lair is. What we DON'T know is, well, everything else.Let's figure out who our enemy is first! I want you to head into the Noxious Lair and get some parts off of those critters. Get five from the Centipaar there and bring them to Alchemist Pestlezugg for him to dink with. With him on the case, we'll figure out what they are!"
83,"The Defias gang in Northshire wears burlap masks, but the Defias in Elwynn wear linen which I can use to make fine linen goods.Bring me red linen bandanas and I'll use them to fashion something for you.Defias gang members have camps pocketed throughout Elwynn."
84,"Here you go.  And when you give this pie to that Billy, you tell him I hope he chokes on it!"
85,"I lost my necklace, and think that guttersnipe Billy Maclure took it!  He's usually scuttling like a rat around the Maclure vineyards east of here.Get my necklace back for me, and you'll warm an old widow's heart."
86,"Maybe if I got a pie, I could tell you who has that necklace.  And you know, I think that old Bernice lady at that other farm makes great Pork Belly Pies...Maybe if you gave her some chunks of boar meat from the boars that hang around our farms, and told her what it was for, she'd bake up a pie for you."
87,"I was playing near the Fargodeep Mine, and I think I dropped, er...I mean I saw, the old lady's necklace.  Don't ask me how it got there...it wasn't me!Well anyway, I saw this big, gold-toothed kobold pick up the necklace and run into the mine.  Go find that kobold and you'll find the necklace, I swear!"
88,"The Brackwells have a prize-winning pig, Princess.  The sow is HUGE, and she got that way from sneaking over here and eating my veggies!So before she comes to our fields...Princess must die!  Bring me her collar as proof of the deed and I'll give you something for your time!Princess is usually over at the Brackwell Pumpkin Patch, to the east and beyond the Maclure farm.  Get her before she gets hungry and comes back here!"
89,"During the last orc invasion we were forced to smelt our iron down to make bullets, swords and armor.  We sent word to Stormwind for a new shipment of materials but a band of Redridge gnolls hijacked the caravan and ran off into the hills behind Lakeshire.Now we're coming up short on supplies to get this bridge rebuilt.  If you can bring me 5 iron pikes and 5 iron rivets, <name>, I'll make sure you're rewarded.Now let's get to work!"
90,"Seasoned Wolf Kabobs are a house favorite!  Sure, I can make you some.  But first I'll need the supplies.  Bring me 10 Lean Wolf Flanks as well as some Stormwind Seasoning Herbs.  There are so many wolves here in the forest, I am sure finding the Flanks will be no problem.  For the herbs, seek out Felicia Gump in her canal district flower shop in Stormwind."
91,"An enemy of Stormwind has taken up residence in the eastern foothills of Redridge. This wicked villain uses the Arcane to spread terror and misery upon our town and our people. Under the name, Morganth, he conducts his evil business.Morganth now controls the Shadowhide Gnoll Clan to perform his biddings. As stated by the Law of Lakeshire, aiding a criminal of the Kingdom is punishable by death.These vile gnolls must be killed!Turn in 10 Shadowhide Pendants to me, and you shall be rewarded."
92,"Nothing would please me more than to make you some Redridge Goulash. But there's a slight problem. During the recent orc uprising I fed the entire brigade of Stormwind troops. My cupboard is now bare. But if you can provide me with the ingredients, I'd be happy to oblige.Just bring me five pieces of Tough Condor Meat, five Great Goretusk Snouts and five helpings of Crisp Spider Meat."
93,"I'll let you in on a little secret - Dusky ""Crab"" Cakes are really made from spider legs!  I know it's a bit disgusting, but the cakes have a nice, tangy flavor and make great snacks!  Bring me Gooey Spider Legs and I'll whip you up a few of them.I hear Venom Web Spiders are a good source - they nest to the north, between the foothills and the river."
94,"My rival, Morganth, is a vicious mage of great power who lives in the Tower of Ilgalar in Redridge.  I have developed a means of spying on him, the Eye of Azora, and can now view him from afar.But to study his thoughts ... I require further aid.If you are willing, then take my Glyph of Azora to the Tower of Ilgalar.  Place it upon the Lion Statue near the Tower.When this is done, the power of Azora will grant visions of Morganth's future plans."
95,"I used to work one of the farms to the southeast...until Dark Riders from Deadwind Pass descended upon my farm and slaughtered my family when I was away!When I returned I saw a shadowy figure skulking near my barn, burying something.  He fled before I could catch him, and I couldn't linger for I was hot on the heels of the Dark Riders.  So I never discovered what was hidden.If you can find what that shadowy figure buried, I would be grateful.  The hiding spot is behind the old stump near my barn."
96,Take shard. Take shard and give life.Give life and understand. Understand water is life... corruption stops life.You protect and give life with water's power.
97,"Let Commander Ebonlocke know immediately that the handwriting matched, <name>!  Her suspicions were correct!"
98,"Stalvan Mistmantle led a life of depravity.  Innocent victims died by his hand.  Undoubtedly he is guilty of countless crimes.  Now the lunatic threatens Darkshire.  The Light only knows what sordid acts he is plotting.  Travel to his cottage just north of town, <class>, and execute Stalvan, once and for all.When the deed is done, travel to Madame Eva's and show her his family ring.  After all, it was her premonition that led to this gruesome discovery.  But Darkshire is safer because of her."
99,"As my understanding of Arugal's magic grows so does my disdain for the hapless fool.  I am close to completing my research on his so called remedy.My knowledge will be complete when I learn what enchantment is causing the strange behavior going on in Pyrewood Village.  By day, the peasants appear to be Human.  But when the sun goes down the townsfolk turn into Moonrage Worgen.I need to draw energy from the enchanted shackles Arugal cast on them.  Bring to me six enchanted Pyrewood Shackles, <name>."
100,Light explodes as you finish the incantation. The sounds of the water drops hitting the flame have died down and your senses are overcome as the corrupt spirits around you are destroyed.
101,"As the mystical taint creeps through the forest, the need for self-protection is undeniable, <name>.  The winds whisper to me and they speak of a great danger which waits patiently for you in the near future.If you wish to protect yourself, noble <class>, bring to me 10 ghoul fangs, 10 skeleton fingers and 5 vials of spider venom.  For you I shall enchant a Totem of Infliction which will harm those who attempt violent acts against you."
102,"Stormwind has abandoned us.  A foul wind of depravity rustles through the plains of Westfall.  This was my homeland and I will not turn my back on the citizens who choose to remain here.  We, the former farmers, shall make our stand.Your task, should you choose to accept, is to patrol the grasslands of Westfall.  Track down and slay the vile Gnolls that seem to be working in conjunction with the Deadmines thieves. Bring me eight Gnoll Paws and I will reward your bravery."
103,"The night the Lighthouse Keeper's family died was horrible.  I watched, helpless, as Old Murk-Eye led the attack.  But what's done is done and now my concern is for the lives of the sailors on The Great Sea whose ships come close to the perilous rocks of the coastline.  With no one to keep watch on the flame the responsibility has fallen upon me.Help me keep the torch lit by bringing me 5 flasks of oil from the Harvest Monsters."
104,"When my life was ended upon the rocks, I had no clue what the afterlife held for me.  The Lighthouse was black that night because Old Murk-Eye had scared the keeper's family off.  They returned and re-lit the flame but Old Murk-Eye coerced the weaker minded murlocs to raid the Lighthouse with him once again.  The second time the family was not so lucky and before my eyes they perished helplessly.Slay Old Murk-Eye if you see him along the shore and bring me one of his scales and I shall reward you."
105,"Alas, the time to attack Andorhal and drive out the lich that controls it is upon us!Inside the ruins of the city is where the lich - Araj the Summoner - holds dominion.  He is guarded by numerous Scourge surrounding the remains of city's center, and his personal retinue of guardians attached to him directly is formidable.  You will need numerous allies to even stand a chance of facing him successfully.Destroy Araj, <name>, and bring me a shard from his phylactery as proof!"
106,"Oh, I'm cursed!  My heart belongs to Tommy Joe Stonefield, but our families are bitter enemies.  So I can't see him, even though my eyes ache to gaze upon that handsome face!Please, take this letter and give it to Tommy Joe.  He's usually at the river to the west of the Stonefield Farm, which is due west of here."
107,"I bet William Pestle has a potion to unite our two young lovers!Here, take this note to William.  He's staying at the Lion's Pride Inn in Goldshire."
109,"Looks to me you've seen quite a bit of combat in your time, <class>.  If you haven't already, you should report to Gryan Stoutmantle.  He heads up the People's Militia, aimed at protecting the farmlands of Westfall.  I bet he could use your help.  You can usually find him in the stone tower on Sentinel Hill, just off the road in the middle of Westfall."
110,"I'm going to spend some time taking a look at Scrimshank's surveying gear... as well as putting his personal effects in order.  I get the sneaking feeling behind my ears that this isn't the last loss we'll be facing against these bugs.I'd like for you to check in with Alchemist Pestlezugg to see if he has had a chance to process the insect parts we sent him.  If they're ready, bring them to me."
111,"Please, <name>, talk with my Gramma.  If anyone can find a way to bring me together with Maybell, she can.She's inside our house east of here."
112,"I can make an invisibility liquor for Maybell, so she can slip away from the Maclure Vineyards and go to Tommy Joe.  But to make the Liquor, I need some crystal kelp.Although the kelp usually grows in the ocean... sometimes murlocs collect it.  See if the murlocs near Crystal Lake have any.  Crystal Lake is just east of Goldshire."
113,"Senior Surveyor Fizzledowser needs to see this report immediately.  Actually... everyone who can read needs to see this report.  We are facing a grave and serious threat to not only Tanaris and Gadgetzan, but if left unchecked, the entirety of southern Kalimdor.  Heck, even quite possible the whole of Azeroth; this thing has given no indication it will subside.Have Fizzledowser make a duplicate of the report for you to distribute freely to your allegiance. Everyone must know about this threat!"
114,Take this invisibility liquor to young Maybell.  It should last long enough for her to visit Tommy Joe.
115,"The Blackrock orcs enlisted shadowcasters to aid their attacks in Redridge, and they have brought with them devices of dark power--midnight orbs.  These orbs have struck telling blows against Redridge's defenders, and it's imperative we remove the demon-tainted items from the conflict.Find and deliver to me midnight orbs from slain Blackrock shadowcasters.  I will then have them disposed of, for this world would be a better place without them!"
116,"I find myself in quite a pinch here, <name>.  The bottles are close to running dry.  The latest booze shipment is long overdue.  The orc invasion has been hell.Perhaps you can go to work for me?I need you to pick up a keg of Thunderbrew Lager from Grimbooze Thunderbrew in the Westfall hills, a cask of Merlot from Stormwind, a bottle of Moonshine from Darkshire and a skin of Sweet Rum from Goldshire.  Bring those back to me and I will see to it you are rewarded."
117,"Hurry, my friend, move with hasteIn order for our rich lager to tasteMore like beer and less like stew,Hops are needed to make the brew."
118,"I've been using so much iron keeping the Stormwind Guards outfitted, I don't have enough to supply the stable's horses with shoes!Take this note to Blacksmith Argus in Goldshire.  It explains to him my problem and requests a shipment of horseshoes."
119,"Ok, I'll give him his 50 horseshoes...Here they are, all boxed up and ready to go!  Tell Verner it was a pleasure doing business, and be sure he reads the note attached to this crate!"
120,"These are trying times, <class>.  The township is under constant siege.  Without reinforcements, we will certainly face defeat.  The message I now entrust to you is of utmost importance.  Get this report to General Marcus Jonathan of Stormwind immediately.  Once your delivery is made, return to me at once with any news, be it good or bad.Now make haste!"
121,"While I wait for a response from the King I want you to carry this letter to Magistrate Solomon.Dismissed, <class>!"
122,"I need some underbelly scales from black dragon whelps to pay for the shoes Argus sent me from Goldshire.  If you can get 6 of them for me, then I can pay Argus with some... and have enough left to fashion something for you.Black dragon whelps are often flying around south of Lakeshire, but they like to wander.  You might have to just keep an eye out and hunt them when you see them."
